# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	-1.071493e-02	1.020470e-01	1.927203e-20	-1.071493e-02	1.071493e-02
2             	-3.233719e-03	3.079732e-02	7.792298e-21	-3.233719e-03	3.233719e-03
3             	-3.705209e-03	3.528770e-02	8.235290e-20	-3.705209e-03	3.705209e-03
4             	-2.018607e-03	1.922483e-02	9.024043e-20	-2.018607e-03	2.018607e-03
5             	-1.812738e-03	1.726417e-02	8.846404e-20	-1.812738e-03	1.812738e-03
6             	-1.478245e-03	1.407852e-02	7.463696e-20	-1.478245e-03	1.478245e-03
7             	-1.431177e-03	1.363026e-02	5.945707e-20	-1.431177e-03	1.431177e-03
8             	-1.410732e-03	1.343554e-02	4.829937e-20	-1.410732e-03	1.410732e-03
9             	-1.426745e-03	1.358805e-02	4.285814e-20	-1.426745e-03	1.426745e-03
10            	-1.446234e-03	1.377366e-02	3.981942e-20	-1.446234e-03	1.446234e-03
11            	-1.465851e-03	1.396048e-02	3.949245e-20	-1.465851e-03	1.465851e-03
12            	-1.480352e-03	1.409859e-02	4.036632e-20	-1.480352e-03	1.480352e-03
13            	-1.490229e-03	1.419266e-02	4.172287e-20	-1.490229e-03	1.490229e-03
14            	-1.496085e-03	1.424843e-02	4.280006e-20	-1.496085e-03	1.496085e-03
15            	-1.499334e-03	1.427938e-02	4.319275e-20	-1.499334e-03	1.499334e-03
16            	-1.500690e-03	1.429229e-02	4.267840e-20	-1.500690e-03	1.500690e-03
17            	-1.500724e-03	1.429261e-02	4.127412e-20	-1.500724e-03	1.500724e-03
18            	-1.499709e-03	1.428295e-02	3.918926e-20	-1.499709e-03	1.499709e-03
19            	-1.498200e-03	1.426857e-02	3.678379e-20	-1.498200e-03	1.498200e-03
20            	-1.496679e-03	1.425409e-02	3.447022e-20	-1.496679e-03	1.496679e-03
21            	-1.495427e-03	1.424216e-02	3.266695e-20	-1.495427e-03	1.495427e-03
22            	-1.494414e-03	1.423252e-02	3.172872e-20	-1.494414e-03	1.494414e-03
23            	-1.493501e-03	1.422382e-02	3.185270e-20	-1.493501e-03	1.493501e-03
24            	-1.492523e-03	1.421450e-02	3.293639e-20	-1.492523e-03	1.492523e-03
25            	-1.491484e-03	1.420461e-02	3.461914e-20	-1.491484e-03	1.491484e-03
26            	-1.490712e-03	1.419726e-02	3.639168e-20	-1.490712e-03	1.490712e-03
27            	-1.490416e-03	1.419444e-02	3.768158e-20	-1.490416e-03	1.490416e-03
28            	-1.490489e-03	1.419513e-02	3.800393e-20	-1.490489e-03	1.490489e-03
29            	-1.490769e-03	1.419780e-02	3.707175e-20	-1.490769e-03	1.490769e-03
30            	-1.491180e-03	1.420172e-02	3.505245e-20	-1.491180e-03	1.491180e-03
31            	-1.491809e-03	1.420770e-02	3.241495e-20	-1.491809e-03	1.491809e-03
32            	-1.492762e-03	1.421678e-02	2.985396e-20	-1.492762e-03	1.492762e-03
33            	-1.493520e-03	1.422400e-02	2.785847e-20	-1.493520e-03	1.493520e-03
34            	-1.495090e-03	1.423895e-02	2.773779e-20	-1.495090e-03	1.495090e-03
35            	-1.496603e-03	1.425336e-02	2.928328e-20	-1.496603e-03	1.496603e-03
36            	-1.497395e-03	1.426090e-02	3.223092e-20	-1.497395e-03	1.497395e-03
37            	-1.497405e-03	1.426100e-02	3.632031e-20	-1.497405e-03	1.497405e-03
38            	-1.498061e-03	1.426725e-02	3.971481e-20	-1.498061e-03	1.498061e-03
39            	-1.499978e-03	1.428550e-02	4.125130e-20	-1.499978e-03	1.499978e-03
40            	-1.502015e-03	1.430490e-02	4.016685e-20	-1.502015e-03	1.502015e-03
41            	-1.504843e-03	1.433184e-02	3.678900e-20	-1.504843e-03	1.504843e-03
42            	-1.507345e-03	1.435567e-02	3.118809e-20	-1.507345e-03	1.507345e-03
43            	-1.509085e-03	1.437224e-02	2.581956e-20	-1.509085e-03	1.509085e-03
44            	-1.512197e-03	1.440188e-02	2.258652e-20	-1.512197e-03	1.512197e-03
45            	-1.515611e-03	1.443439e-02	2.295138e-20	-1.515611e-03	1.515611e-03
46            	-1.518110e-03	1.445819e-02	2.710551e-20	-1.518110e-03	1.518110e-03
47            	-1.519207e-03	1.446864e-02	3.420408e-20	-1.519207e-03	1.519207e-03
48            	-1.519828e-03	1.447455e-02	4.195687e-20	-1.519828e-03	1.519828e-03
49            	-1.522060e-03	1.449581e-02	4.729449e-20	-1.522060e-03	1.522060e-03
50            	-1.526305e-03	1.453623e-02	4.808794e-20	-1.526305e-03	1.526305e-03
51            	-1.530449e-03	1.457570e-02	4.408428e-20	-1.530449e-03	1.530449e-03
52            	-1.535248e-03	1.462141e-02	3.536788e-20	-1.535248e-03	1.535248e-03
53            	-1.536535e-03	1.463366e-02	2.584504e-20	-1.536535e-03	1.536535e-03
54            	-1.539348e-03	1.466046e-02	1.891421e-20	-1.539348e-03	1.539348e-03
55            	-1.544021e-03	1.470496e-02	1.727432e-20	-1.544021e-03	1.544021e-03
56            	-1.548330e-03	1.474600e-02	2.135958e-20	-1.548330e-03	1.548330e-03
57            	-1.550071e-03	1.476258e-02	3.103935e-20	-1.550071e-03	1.550071e-03
58            	-1.547995e-03	1.474281e-02	4.259259e-20	-1.547995e-03	1.547995e-03
59            	-1.547024e-03	1.473356e-02	5.190697e-20	-1.547024e-03	1.547024e-03
60            	-1.551137e-03	1.477273e-02	5.520185e-20	-1.551137e-03	1.551137e-03
61            	-1.556326e-03	1.482215e-02	5.172768e-20	-1.556326e-03	1.556326e-03
62            	-1.561712e-03	1.487345e-02	4.276026e-20	-1.561712e-03	1.561712e-03
63            	-1.563396e-03	1.488948e-02	2.964908e-20	-1.563396e-03	1.563396e-03
64            	-1.561908e-03	1.487532e-02	1.884264e-20	-1.561908e-03	1.561908e-03
65            	-1.565083e-03	1.490555e-02	1.423770e-20	-1.565083e-03	1.565083e-03
66            	-1.570043e-03	1.495279e-02	1.694151e-20	-1.570043e-03	1.570043e-03
67            	-1.572378e-03	1.497503e-02	2.591003e-20	-1.572378e-03	1.572378e-03
68            	-1.569984e-03	1.495223e-02	4.011193e-20	-1.569984e-03	1.569984e-03
69            	-1.565056e-03	1.490530e-02	5.295702e-20	-1.565056e-03	1.565056e-03
70            	-1.566409e-03	1.491818e-02	5.960544e-20	-1.566409e-03	1.566409e-03
71            	-1.571708e-03	1.496865e-02	5.814554e-20	-1.571708e-03	1.571708e-03
72            	-1.577331e-03	1.502220e-02	4.998184e-20	-1.577331e-03	1.577331e-03
73            	-1.579084e-03	1.503890e-02	3.589046e-20	-1.579084e-03	1.579084e-03
74            	-1.575630e-03	1.500600e-02	2.215788e-20	-1.575630e-03	1.575630e-03
75            	-1.576326e-03	1.501263e-02	1.392870e-20	-1.576326e-03	1.576326e-03
76            	-1.581486e-03	1.506177e-02	1.391687e-20	-1.581486e-03	1.581486e-03
77            	-1.584641e-03	1.509182e-02	2.099037e-20	-1.584641e-03	1.584641e-03
78            	-1.582775e-03	1.507405e-02	3.492399e-20	-1.582775e-03	1.582775e-03
79            	-1.575824e-03	1.500785e-02	4.989259e-20	-1.575824e-03	1.575824e-03
80            	-1.573337e-03	1.498416e-02	6.035637e-20	-1.573337e-03	1.573337e-03
81            	-1.578232e-03	1.503078e-02	6.201248e-20	-1.578232e-03	1.578232e-03
82            	-1.584607e-03	1.509149e-02	5.628075e-20	-1.584607e-03	1.584607e-03
83            	-1.587839e-03	1.512228e-02	4.444617e-20	-1.587839e-03	1.587839e-03
84            	-1.586004e-03	1.510480e-02	2.832550e-20	-1.586004e-03	1.586004e-03
85            	-1.582067e-03	1.506730e-02	1.618122e-20	-1.582067e-03	1.582067e-03
86            	-1.585389e-03	1.509894e-02	1.215363e-20	-1.585389e-03	1.585389e-03
87            	-1.589230e-03	1.513552e-02	1.637645e-20	-1.589230e-03	1.589230e-03
88            	-1.589541e-03	1.513849e-02	2.752917e-20	-1.589541e-03	1.589541e-03
89            	-1.584761e-03	1.509297e-02	4.395142e-20	-1.584761e-03	1.584761e-03
90            	-1.578442e-03	1.503278e-02	5.770269e-20	-1.578442e-03	1.578442e-03
91            	-1.580628e-03	1.505360e-02	6.381492e-20	-1.580628e-03	1.580628e-03
92            	-1.586019e-03	1.510495e-02	6.109516e-20	-1.586019e-03	1.586019e-03
93            	-1.590856e-03	1.515101e-02	5.114498e-20	-1.590856e-03	1.590856e-03
94            	-1.590669e-03	1.514922e-02	3.518397e-20	-1.590669e-03	1.590669e-03
95            	-1.585523e-03	1.510022e-02	2.054846e-20	-1.585523e-03	1.585523e-03
96            	-1.586079e-03	1.510551e-02	1.254837e-20	-1.586079e-03	1.586079e-03
97            	-1.591010e-03	1.515247e-02	1.332413e-20	-1.591010e-03	1.591010e-03
98            	-1.593144e-03	1.517280e-02	2.159931e-20	-1.593144e-03	1.593144e-03
99            	-1.589941e-03	1.514229e-02	3.683744e-20	-1.589941e-03	1.589941e-03
100           	-1.582124e-03	1.506785e-02	5.244209e-20	-1.582124e-03	1.582124e-03
