# Residuals   
# Time        	p             	Ux            	Uy            
0.2           	1.000000e+00	1.000000e+00	1.000000e+00
0.4           	3.325906e-01	1.423651e-01	3.734823e-01
0.6           	8.527842e-01	6.224719e-02	2.116488e-01
0.8           	5.308123e-01	7.269033e-02	2.350278e-01
1             	7.894882e-01	5.311588e-02	2.159436e-01
1.2           	5.417027e-01	6.053129e-02	2.162805e-01
1.4           	7.291697e-01	4.811292e-02	2.119479e-01
1.6           	5.318843e-01	5.478278e-02	2.093010e-01
1.8           	6.874546e-01	4.401991e-02	1.974439e-01
2             	5.219033e-01	4.893309e-02	1.900912e-01
2.2           	6.621533e-01	3.990126e-02	1.774904e-01
2.4           	5.156323e-01	4.455638e-02	1.719600e-01
2.6           	6.396743e-01	3.765349e-02	1.639328e-01
2.8           	5.102526e-01	4.232224e-02	1.622872e-01
3             	6.187288e-01	3.713696e-02	1.576497e-01
3.2           	5.038672e-01	4.151315e-02	1.580825e-01
3.4           	5.977752e-01	3.729577e-02	1.536711e-01
3.6           	4.943226e-01	4.073912e-02	1.533297e-01
3.8           	5.781396e-01	3.686359e-02	1.478520e-01
4             	4.857055e-01	3.931624e-02	1.467926e-01
4.2           	5.636054e-01	3.581379e-02	1.405536e-01
4.4           	4.794519e-01	3.756185e-02	1.392472e-01
4.6           	5.519557e-01	3.442060e-02	1.328760e-01
4.8           	4.746698e-01	3.573303e-02	1.319578e-01
5             	5.426766e-01	3.305054e-02	1.260025e-01
5.2           	4.717920e-01	3.423904e-02	1.260271e-01
5.4           	5.360350e-01	3.217155e-02	1.211205e-01
5.6           	4.718499e-01	3.345870e-02	1.223378e-01
5.8           	5.320126e-01	3.200839e-02	1.187374e-01
6             	4.740065e-01	3.340028e-02	1.209336e-01
6.2           	5.291455e-01	3.241935e-02	1.184161e-01
6.4           	4.758235e-01	3.377001e-02	1.209360e-01
6.6           	5.257123e-01	3.303102e-02	1.189890e-01
6.8           	4.763254e-01	3.414951e-02	1.210738e-01
7             	5.212778e-01	3.346649e-02	1.191105e-01
7.2           	4.749376e-01	3.424181e-02	1.203140e-01
7.4           	5.158424e-01	3.353824e-02	1.181284e-01
7.6           	4.724653e-01	3.398438e-02	1.184196e-01
