# y+ ()       
# Time        	patch         	min           	max           	average       
1             	atmosphere	6.382493e-01	1.959075e+00	1.195530e+00
1             	walls	6.262008e-02	2.531034e-01	1.169472e-01
1             	cylinder	1.865875e-02	1.557094e-01	8.525298e-02
2             	atmosphere	5.212863e-01	1.959214e+00	9.803711e-01
2             	walls	5.292617e-02	2.531040e-01	9.908376e-02
2             	cylinder	1.799109e-02	1.608042e-01	8.500609e-02
3             	atmosphere	4.777210e-01	1.959204e+00	8.950695e-01
3             	walls	4.573380e-02	2.530980e-01	8.949595e-02
3             	cylinder	3.185252e-02	1.489034e-01	8.263089e-02
4             	atmosphere	4.458916e-01	1.959180e+00	8.397219e-01
4             	walls	4.600128e-02	2.530975e-01	8.551126e-02
4             	cylinder	3.144610e-02	1.449625e-01	7.966438e-02
5             	atmosphere	4.351722e-01	1.959198e+00	8.094055e-01
5             	walls	4.077659e-02	2.530961e-01	8.061625e-02
5             	cylinder	3.231425e-02	1.393600e-01	7.773032e-02
6             	atmosphere	4.180160e-01	1.959175e+00	7.789537e-01
6             	walls	4.381525e-02	2.530969e-01	7.958748e-02
6             	cylinder	3.469606e-02	1.353389e-01	7.842802e-02
7             	atmosphere	4.201606e-01	1.959200e+00	7.650001e-01
7             	walls	3.877758e-02	2.530957e-01	7.588451e-02
7             	cylinder	3.611005e-02	1.339810e-01	7.793989e-02
8             	atmosphere	4.082388e-01	1.959174e+00	7.429027e-01
8             	walls	4.349030e-02	2.530968e-01	7.623661e-02
8             	cylinder	3.640543e-02	1.336041e-01	7.812605e-02
9             	atmosphere	4.166316e-01	1.959202e+00	7.368022e-01
9             	walls	3.807284e-02	2.530955e-01	7.289112e-02
9             	cylinder	3.492291e-02	1.311884e-01	7.721454e-02
10            	atmosphere	4.072987e-01	1.959173e+00	7.190109e-01
10            	walls	4.364598e-02	2.530969e-01	7.401157e-02
10            	cylinder	3.457955e-02	1.320687e-01	7.829003e-02
11            	atmosphere	4.186504e-01	1.959202e+00	7.179620e-01
11            	walls	3.786888e-02	2.530958e-01	7.077415e-02
11            	cylinder	3.573517e-02	1.325218e-01	7.748253e-02
12            	atmosphere	4.098181e-01	1.959172e+00	7.027664e-01
12            	walls	4.378572e-02	2.530974e-01	7.235864e-02
12            	cylinder	3.630278e-02	1.338746e-01	7.846059e-02
13            	atmosphere	4.210776e-01	1.959202e+00	7.046616e-01
13            	walls	3.785583e-02	2.530960e-01	6.919837e-02
13            	cylinder	3.366972e-02	1.328518e-01	7.798689e-02
14            	atmosphere	4.106288e-01	1.959173e+00	6.903886e-01
14            	walls	4.407535e-02	2.530973e-01	7.119384e-02
14            	cylinder	3.745293e-02	1.324667e-01	7.899212e-02
15            	atmosphere	4.204708e-01	1.959204e+00	6.937336e-01
15            	walls	3.807000e-02	2.530956e-01	6.814787e-02
15            	cylinder	3.496734e-02	1.296332e-01	7.726690e-02
16            	atmosphere	4.094628e-01	1.959174e+00	6.803904e-01
16            	walls	4.430949e-02	2.530969e-01	7.039811e-02
16            	cylinder	3.235516e-02	1.296343e-01	7.818766e-02
17            	atmosphere	4.204236e-01	1.959204e+00	6.859349e-01
17            	walls	3.811712e-02	2.530956e-01	6.740146e-02
17            	cylinder	3.211506e-02	1.306190e-01	7.826569e-02
18            	atmosphere	4.112500e-01	1.959171e+00	6.748129e-01
18            	walls	4.405157e-02	2.530973e-01	6.974147e-02
18            	cylinder	3.406984e-02	1.348674e-01	7.901928e-02
19            	atmosphere	4.223362e-01	1.959200e+00	6.825007e-01
19            	walls	3.768198e-02	2.530961e-01	6.671991e-02
19            	cylinder	3.307074e-02	1.363456e-01	7.903569e-02
20            	atmosphere	4.104307e-01	1.959170e+00	6.715307e-01
20            	walls	4.370760e-02	2.530973e-01	6.931233e-02
20            	cylinder	3.305107e-02	1.362310e-01	8.216656e-02
21            	atmosphere	4.172129e-01	1.959203e+00	6.788696e-01
21            	walls	3.753665e-02	2.530951e-01	6.647419e-02
21            	cylinder	3.561668e-02	1.312376e-01	7.952030e-02
22            	atmosphere	4.028041e-01	1.959174e+00	6.671065e-01
22            	walls	4.377931e-02	2.530959e-01	6.932606e-02
22            	cylinder	3.308305e-02	1.283874e-01	7.927809e-02
23            	atmosphere	4.116472e-01	1.959201e+00	6.761387e-01
23            	walls	3.747930e-02	2.530947e-01	6.653561e-02
23            	cylinder	3.446699e-02	1.296303e-01	8.141171e-02
24            	atmosphere	4.029173e-01	1.959169e+00	6.678015e-01
24            	walls	4.321985e-02	2.530969e-01	6.920044e-02
24            	cylinder	3.186359e-02	1.375018e-01	8.151216e-02
25            	atmosphere	4.137109e-01	1.959194e+00	6.791647e-01
25            	walls	3.687799e-02	2.530961e-01	6.625751e-02
25            	cylinder	3.070688e-02	1.416378e-01	8.099371e-02
26            	atmosphere	4.023509e-01	1.959169e+00	6.702242e-01
26            	walls	4.275666e-02	2.530970e-01	6.908436e-02
26            	cylinder	2.846054e-02	1.409892e-01	8.585916e-02
27            	atmosphere	4.084494e-01	1.959200e+00	6.791914e-01
27            	walls	3.695402e-02	2.530946e-01	6.644341e-02
27            	cylinder	3.323002e-02	1.335469e-01	8.175281e-02
28            	atmosphere	3.951687e-01	1.959175e+00	6.684145e-01
28            	walls	4.311063e-02	2.530952e-01	6.953114e-02
28            	cylinder	3.237514e-02	1.282300e-01	8.029561e-02
29            	atmosphere	4.050134e-01	1.959198e+00	6.788993e-01
29            	walls	3.710014e-02	2.530943e-01	6.694867e-02
29            	cylinder	3.568039e-02	1.295109e-01	8.338729e-02
30            	atmosphere	3.985353e-01	1.959168e+00	6.724512e-01
30            	walls	4.265266e-02	2.530967e-01	6.964533e-02
30            	cylinder	3.447128e-02	1.391190e-01	8.267428e-02
31            	atmosphere	4.099166e-01	1.959192e+00	6.847497e-01
31            	walls	3.658406e-02	2.530961e-01	6.680846e-02
31            	cylinder	2.915568e-02	1.441565e-01	8.171606e-02
32            	atmosphere	3.993271e-01	1.959168e+00	6.767249e-01
32            	walls	4.236088e-02	2.530969e-01	6.959950e-02
32            	cylinder	2.897904e-02	1.429269e-01	8.727473e-02
33            	atmosphere	4.054326e-01	1.959200e+00	6.850789e-01
33            	walls	3.677211e-02	2.530944e-01	6.704820e-02
33            	cylinder	3.051972e-02	1.343671e-01	8.234282e-02
34            	atmosphere	3.925797e-01	1.959175e+00	6.736486e-01
34            	walls	4.289467e-02	2.530950e-01	6.999150e-02
34            	cylinder	3.181039e-02	1.282432e-01	8.069822e-02
35            	atmosphere	4.030152e-01	1.959198e+00	6.827294e-01
35            	walls	3.693296e-02	2.530942e-01	6.734488e-02
35            	cylinder	3.656080e-02	1.297471e-01	8.415087e-02
36            	atmosphere	3.970473e-01	1.959168e+00	6.755263e-01
36            	walls	4.249394e-02	2.530967e-01	6.984465e-02
36            	cylinder	3.491587e-02	1.399282e-01	8.292876e-02
37            	atmosphere	4.087148e-01	1.959191e+00	6.864299e-01
37            	walls	3.644222e-02	2.530961e-01	6.692248e-02
37            	cylinder	2.858130e-02	1.450365e-01	8.203988e-02
38            	atmosphere	3.981459e-01	1.959168e+00	6.773663e-01
38            	walls	4.227460e-02	2.530969e-01	6.959453e-02
38            	cylinder	2.959612e-02	1.434502e-01	8.778227e-02
39            	atmosphere	4.043932e-01	1.959200e+00	6.847859e-01
39            	walls	3.668316e-02	2.530943e-01	6.700349e-02
39            	cylinder	2.982993e-02	1.344293e-01	8.229248e-02
40            	atmosphere	3.917073e-01	1.959175e+00	6.730661e-01
40            	walls	4.283715e-02	2.530949e-01	6.991987e-02
40            	cylinder	3.161456e-02	1.282271e-01	8.088384e-02
41            	atmosphere	4.024755e-01	1.959198e+00	6.821471e-01
41            	walls	3.685937e-02	2.530942e-01	6.726560e-02
41            	cylinder	3.685425e-02	1.300172e-01	8.444347e-02
42            	atmosphere	3.966595e-01	1.959167e+00	6.749648e-01
42            	walls	4.243719e-02	2.530967e-01	6.975671e-02
42            	cylinder	3.443074e-02	1.403764e-01	8.285688e-02
43            	atmosphere	4.083394e-01	1.959191e+00	6.858752e-01
43            	walls	3.639831e-02	2.530961e-01	6.683242e-02
