U:0,U:1,U:2,grad(U):0,grad(U):1,grad(U):2,grad(U):3,grad(U):4,grad(U):5,grad(U):6,grad(U):7,grad(U):8,Points:0,Points:1,Points:2,Point ID
0.282841,1.06198e-06,0,63.099,0.00237,0,0,-63.0994,0,0,0,0,0.00078,0.001,0,39
0.284104,1.10996e-06,0,63.09,0.0024375,0,0,-63.0909,0,0,0,0,0.0008,0.001,0,40
0.281579,1.01499e-06,0,63.0735,0.0022875,0,0,-63.0731,0,0,0,0,0.00076,0.001,0,38
0.285365,1.15947e-06,0,62.9865,0.002505,0,0,-62.9862,0,0,0,0,0.00082,0.001,0,41
0.280318,9.70007e-07,0,62.979,0.002175,0,0,-62.9771,0,0,0,0,0.00074,0.001,0,37
0.286624,1.20998e-06,0,62.853,0.0025725,0,0,-62.8523,0,0,0,0,0.00084,0.001,0,42
0.279059,9.28016e-07,0,62.8065,0.0020775,0,0.00149999,-62.8054,0,0,0,0,0.00072,0.001,0,36
0.28788,1.26251e-06,0,62.6595,0.00264,0,0,-62.66,0,0,0,0,0.00086,0.001,0,43
0.277803,8.87521e-07,0,62.595,0.00198749,0,0.00374997,-62.5959,0,0,0,0,0.0007,0.001,0,35
0.289131,1.31602e-06,0,62.415,0.0027075,0,0,-62.4147,0,0,0,0,0.00088,0.001,0,44
0.276556,8.48511e-07,0,62.2665,0.001965,0,0.00374997,-62.2643,0,0,0,0,0.00068,0.001,0,34
0.290379,1.37003e-06,0,62.145,0.00277501,0,0,-62.143,0,0,0,0,0.0009,0.001,0,45
0.275312,8.095e-07,0,61.8945,0.0019395,0,0.00299997,-61.8891,0,0,0,0,0.00066,0.001,0,33
0.291616,1.42701e-06,0,61.803,0.002865,0,0,-61.7999,0,0,0,0,0.00092,0.001,0,46
0.29285,1.485e-06,0,61.4385,0.0029535,0,0,-61.4354,0,0,0,0,0.00094,0.001,0,47
0.274078,7.70489e-07,0,61.4355,0.001908,0,0.000749991,-61.4268,0,0,0,0,0.00064,0.001,0,32
0.294075,1.545e-06,0,61.029,0.00303899,0,0,-61.0283,0,0,0,0,0.00096,0.001,0,48
0.272855,7.32887e-07,0,60.8805,0.001848,0,0,-60.8719,0,0,0,0,0.00062,0.001,0,31
0.29529,1.6068e-06,0,60.5805,0.00313649,0,0,-60.5835,0,0,0,0,0.00098,0.001,0,49
0.271639,6.95989e-07,0,60.2775,0.00177376,0,6.5484e-09,-60.2706,0,0,0,0,0.0006,0.001,0,30
0.296501,1.66951e-06,0,60.1125,0.00324,0,0,-60.1198,0,0,0,0,0.001,0.001,0,50
0.297695,1.73641e-06,0,59.5995,0.0033525,0,0.00224997,-59.6063,0,0,0,0,0.00102,0.001,0,51
0.270444,6.61946e-07,0,59.526,0.00170851,0,0.00225002,-59.5224,0,0,0,0,0.00058,0.001,0,29
0.298883,1.80441e-06,0,59.073,0.00346125,0,0.00374997,-59.0784,0,0,0,0,0.00104,0.001,0,52
0.269259,6.28401e-07,0,58.7235,0.00164926,0,0.00375003,-58.7228,0,0,0,0,0.00056,0.001,0,28
0.300059,1.87461e-06,0,58.5195,0.0035625,0,0.00374997,-58.5217,0,0,0,0,0.00106,0.001,0,53
0.301223,1.9471e-06,0,57.942,0.00366824,0,0.00224999,-57.9401,0,0,0,0,0.00108,0.001,0,54
0.268092,5.95851e-07,0,57.819,0.001602,0,0.00375003,-57.8206,0,0,0,0,0.00054,0.001,0,27
0.30238,2.02074e-06,0,57.3525,0.00377624,0,0,-57.3462,0,0,0,0,0.0011,0.001,0,55
0.266947,5.64402e-07,0,56.8095,0.00155275,0,0.00225001,-56.8114,0,0,0,0,0.00052,0.001,0,26
0.303517,2.09814e-06,0,56.727,0.00389098,0,0,-56.7207,0,0,0,0,0.00112,0.001,0,56
0.304647,2.17684e-06,0,56.091,0.00400648,0,0,-56.0865,0,0,0,0,0.00114,0.001,0,57
0.265813,5.33502e-07,0,55.7475,0.0015025,0,0,-55.7488,0,0,0,0,0.0005,0.001,0,25
0.305762,2.25815e-06,0,55.434,0.00412348,0,0,-55.4348,0,0,0,0,0.00116,0.001,0,58
0.306863,2.34205e-06,0,54.768,0.00424198,0,0,-54.7689,0,0,0,0,0.00118,0.001,0,59
0.264718,5.04253e-07,0,54.519,0.001456,0,0,-54.5207,0,0,0,0,0.00048,0.001,0,24
0.307956,2.42726e-06,0,54.0975,0.00436123,0,0,-54.0958,0,0,0,0,0.0012,0.001,0,60
