# Residuals   
# Time        	p             	Ux            	Uy            
1             	1.000000e+00	1.000000e+00	8.691903e-03
2             	7.120576e-04	7.061010e-01	4.036000e-01
3             	2.867146e-03	2.787132e-01	3.016510e-01
4             	3.875135e-03	8.936488e-02	1.494428e-01
5             	3.802254e-03	4.473693e-02	1.000648e-01
6             	2.661329e-03	3.420132e-02	6.280213e-02
7             	2.116244e-03	2.797996e-02	4.794283e-02
8             	1.640727e-03	2.382957e-02	3.750399e-02
9             	1.342843e-03	2.076137e-02	3.229751e-02
10            	1.127722e-03	1.831102e-02	2.718797e-02
11            	9.594167e-04	1.635748e-02	2.383011e-02
12            	8.155604e-04	1.473417e-02	2.119994e-02
13            	7.026522e-04	1.337430e-02	1.900076e-02
14            	6.082249e-04	1.224710e-02	1.714391e-02
15            	5.305955e-04	1.124716e-02	1.557236e-02
16            	4.738385e-04	1.037618e-02	1.422864e-02
17            	4.207941e-04	9.630237e-03	1.306588e-02
18            	3.731337e-04	8.959548e-03	1.205052e-02
19            	3.330428e-04	8.353462e-03	1.115630e-02
20            	2.965861e-04	7.819969e-03	1.036305e-02
21            	2.640251e-04	7.338144e-03	9.656235e-03
22            	2.356361e-04	6.894104e-03	9.022794e-03
23            	2.127345e-04	6.486124e-03	8.451505e-03
24            	1.918023e-04	6.110301e-03	7.934033e-03
25            	1.733394e-04	5.773848e-03	7.463228e-03
26            	1.564276e-04	5.465574e-03	7.033181e-03
27            	1.411727e-04	5.178454e-03	6.638179e-03
28            	1.274954e-04	4.910534e-03	6.273713e-03
29            	1.152138e-04	4.659432e-03	5.936438e-03
30            	1.049338e-04	4.423053e-03	5.623602e-03
31            	9.538358e-05	4.200751e-03	5.332526e-03
32            	8.680756e-05	3.995571e-03	5.061462e-03
33            	7.891639e-05	3.805642e-03	4.808356e-03
34            	7.185962e-05	3.626600e-03	4.571409e-03
35            	6.416585e-05	3.457434e-03	4.351734e-03
36            	5.945044e-05	3.298176e-03	4.142097e-03
37            	5.483723e-05	3.147364e-03	3.950369e-03
38            	5.320910e-05	3.003657e-03	3.768670e-03
39            	4.495024e-05	2.869079e-03	3.595511e-03
40            	4.645026e-05	2.740067e-03	3.432847e-03
41            	3.888006e-05	2.618931e-03	3.275672e-03
42            	3.997008e-05	2.502796e-03	3.131290e-03
43            	3.362894e-05	2.393581e-03	2.991014e-03
44            	3.479959e-05	2.288687e-03	2.861556e-03
45            	2.890416e-05	2.190258e-03	2.735163e-03
46            	3.075917e-05	2.095650e-03	2.619301e-03
47            	2.558307e-05	2.006747e-03	2.505529e-03
48            	2.717209e-05	1.921077e-03	2.400587e-03
49            	2.255986e-05	1.840419e-03	2.297749e-03
50            	2.418473e-05	1.762451e-03	2.202719e-03
51            	2.000657e-05	1.689009e-03	2.109701e-03
52            	1.781870e-05	1.618173e-03	2.021041e-03
53            	1.767151e-05	1.550704e-03	1.937565e-03
54            	1.575202e-05	1.486283e-03	1.858354e-03
55            	1.591544e-05	1.424733e-03	1.782765e-03
56            	1.424597e-05	1.365838e-03	1.710226e-03
57            	1.340533e-05	1.309587e-03	1.641345e-03
58            	1.269755e-05	1.255725e-03	1.575552e-03
59            	1.204223e-05	1.204248e-03	1.512661e-03
60            	1.141826e-05	1.154957e-03	1.452536e-03
61            	1.084044e-05	1.107793e-03	1.395037e-03
62            	1.030179e-05	1.062646e-03	1.340006e-03
63            	9.796587e-06	1.019418e-03	1.287356e-03
64            	9.323014e-06	9.780215e-04	1.236948e-03
65            	8.878005e-06	9.383722e-04	1.188675e-03
66            	8.460068e-06	9.003902e-04	1.142438e-03
67            	8.872142e-06	8.639978e-04	1.098743e-03
68            	7.884440e-06	8.291400e-04	1.055941e-03
69            	7.644606e-06	7.957089e-04	1.014969e-03
70            	7.262060e-06	7.636878e-04	9.760437e-04
