# Force coefficients
# liftDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# dragDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# magUInf     : 1.562000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	4.331624e-03	-1.007041e-02	2.183890e-01	1.135261e-01	1.048629e-01
2             	-2.746460e-02	6.747752e-02	1.371627e-01	4.111675e-02	9.604595e-02
3             	-1.257325e-02	4.818406e-02	6.416161e-02	1.950756e-02	4.465406e-02
4             	-7.883376e-04	1.972439e-02	2.377412e-02	1.109872e-02	1.267540e-02
5             	1.998215e-03	9.208272e-03	8.304518e-03	6.150474e-03	2.154044e-03
6             	8.103360e-03	-6.398589e-03	7.641383e-03	1.192405e-02	-4.282669e-03
7             	1.388927e-02	-2.567920e-02	1.215425e-02	1.996639e-02	-7.812145e-03
8             	1.430972e-02	-3.357177e-02	1.791421e-02	2.326682e-02	-5.352616e-03
9             	1.158144e-02	-3.418069e-02	2.232955e-02	2.274621e-02	-4.166630e-04
10            	6.575221e-03	-2.894671e-02	2.507276e-02	1.911160e-02	5.961160e-03
11            	-2.709293e-04	-1.831820e-02	2.644729e-02	1.295271e-02	1.349457e-02
12            	-7.930300e-03	-3.205108e-03	2.694403e-02	5.541713e-03	2.140231e-02
13            	-1.644152e-02	1.601274e-02	2.704692e-02	-2.918062e-03	2.996498e-02
14            	-2.541215e-02	3.936117e-02	2.680369e-02	-1.201030e-02	3.881399e-02
15            	-3.393810e-02	6.442880e-02	2.620439e-02	-2.083591e-02	4.704030e-02
16            	-4.301769e-02	9.267144e-02	2.491718e-02	-3.055910e-02	5.547629e-02
17            	-5.321037e-02	1.249414e-01	2.292649e-02	-4.174712e-02	6.467361e-02
18            	-6.563706e-02	1.630120e-01	2.020704e-02	-5.553354e-02	7.574058e-02
19            	-7.852255e-02	2.017938e-01	1.697798e-02	-7.003356e-02	8.701154e-02
20            	-8.304750e-02	2.223756e-01	1.367851e-02	-7.620825e-02	8.988676e-02
21            	-7.755027e-02	2.212125e-01	1.131484e-02	-7.189285e-02	8.320769e-02
22            	-6.312449e-02	1.992120e-01	1.010033e-02	-5.807432e-02	6.817466e-02
23            	-4.490479e-02	1.664249e-01	9.964241e-03	-3.992267e-02	4.988691e-02
24            	-3.056421e-02	1.392400e-01	1.005542e-02	-2.553650e-02	3.559192e-02
25            	-2.117781e-02	1.203641e-01	1.007018e-02	-1.614272e-02	2.621290e-02
26            	-1.541194e-02	1.075628e-01	9.985992e-03	-1.041894e-02	2.040494e-02
27            	-1.170346e-02	9.816861e-02	9.851281e-03	-6.777820e-03	1.662910e-02
28            	-9.106095e-03	9.068483e-02	9.752041e-03	-4.230075e-03	1.398212e-02
29            	-7.146852e-03	8.437156e-02	9.681158e-03	-2.306273e-03	1.198743e-02
30            	-5.570444e-03	7.881181e-02	9.654193e-03	-7.433478e-04	1.039754e-02
31            	-4.277431e-03	7.382369e-02	9.682481e-03	5.638094e-04	9.118671e-03
32            	-3.200613e-03	6.924827e-02	9.745108e-03	1.671941e-03	8.073167e-03
33            	-2.370414e-03	6.520982e-02	9.807362e-03	2.533267e-03	7.274095e-03
34            	-1.701991e-03	6.148911e-02	9.862549e-03	3.229284e-03	6.633266e-03
35            	-1.199090e-03	5.813758e-02	9.905662e-03	3.753741e-03	6.151921e-03
36            	-8.058849e-04	5.499694e-02	9.942556e-03	4.165393e-03	5.777163e-03
37            	-5.027826e-04	5.200365e-02	9.979807e-03	4.487121e-03	5.492686e-03
38            	-2.954735e-04	4.923989e-02	1.001933e-02	4.714194e-03	5.305141e-03
39            	-1.322796e-04	4.652937e-02	1.005777e-02	4.896604e-03	5.161164e-03
40            	-2.521820e-06	4.382603e-02	1.009183e-02	5.043391e-03	5.048435e-03
41            	7.228167e-05	4.128465e-02	1.012908e-02	5.136821e-03	4.992257e-03
42            	1.135730e-04	3.878121e-02	1.015916e-02	5.193152e-03	4.966006e-03
