# Residuals   
# Time        	p             	Ux            	Uy            	k             	omega         
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.371153e-03
2             	2.988326e-01	1.454856e-02	3.477794e-01	2.285593e-01	3.039243e-03
3             	7.935176e-02	6.716615e-03	2.021429e-01	6.142442e-02	2.603222e-03
4             	7.228528e-02	4.792610e-03	7.700140e-02	2.109092e-02	1.342318e-03
5             	5.960186e-02	3.606616e-03	4.283756e-02	7.467243e-03	1.027739e-03
6             	6.725636e-02	2.840602e-03	2.841861e-02	3.397523e-03	6.943323e-04
7             	7.655537e-02	2.434190e-03	2.160249e-02	2.857293e-03	5.306338e-04
8             	7.515848e-02	2.286343e-03	1.807222e-02	2.262251e-03	4.079109e-04
9             	7.172343e-02	2.298071e-03	1.513572e-02	1.756893e-03	3.615830e-04
10            	5.917855e-02	2.325809e-03	1.313660e-02	1.326697e-03	3.200964e-04
11            	5.102887e-02	2.385685e-03	1.173232e-02	1.036065e-03	2.994330e-04
12            	4.618604e-02	2.469833e-03	1.073651e-02	8.632227e-04	2.909801e-04
13            	4.718410e-02	2.613712e-03	1.016958e-02	7.478352e-04	2.802522e-04
14            	5.489268e-02	2.797777e-03	9.724574e-03	6.726142e-04	2.663588e-04
15            	7.106078e-02	2.951364e-03	9.335211e-03	6.028866e-04	2.472601e-04
16            	7.990678e-02	3.054923e-03	8.982278e-03	5.566201e-04	2.365111e-04
17            	5.580918e-02	3.093705e-03	8.758040e-03	5.313204e-04	2.175801e-04
18            	4.154649e-02	3.085503e-03	8.807877e-03	5.206658e-04	2.096318e-04
19            	3.460988e-02	3.087783e-03	9.347276e-03	5.480811e-04	2.188166e-04
20            	3.075656e-02	3.124936e-03	1.093736e-02	5.710609e-04	1.960400e-04
21            	2.814432e-02	3.257527e-03	1.461363e-02	5.973523e-04	1.918890e-04
22            	2.394138e-02	3.438798e-03	2.342472e-02	6.063057e-04	1.928097e-04
23            	2.139566e-02	3.651835e-03	5.561980e-02	5.868899e-04	1.917500e-04
24            	2.044225e-02	3.913336e-03	3.855045e-02	5.681244e-04	1.827701e-04
25            	2.180521e-02	4.227980e-03	2.138048e-02	5.373196e-04	1.619804e-04
26            	2.445392e-02	4.694347e-03	1.596555e-02	4.978694e-04	1.521459e-04
27            	2.540871e-02	5.413435e-03	1.364909e-02	4.537633e-04	1.336598e-04
28            	3.993991e-02	6.183155e-03	1.223845e-02	4.086623e-04	1.181837e-04
29            	5.374386e-02	6.966993e-03	1.177915e-02	3.845106e-04	1.069456e-04
30            	4.247977e-02	7.782776e-03	1.205874e-02	3.724444e-04	1.021044e-04
31            	3.702874e-02	8.552116e-03	1.321771e-02	3.630035e-04	9.676258e-05
32            	3.523828e-02	9.322625e-03	1.535854e-02	3.480151e-04	9.205034e-05
33            	3.517395e-02	9.825856e-03	1.849318e-02	3.311607e-04	8.578430e-05
34            	3.395421e-02	9.876332e-03	2.305138e-02	3.213665e-04	8.179703e-05
35            	3.119347e-02	9.602269e-03	2.983258e-02	3.135203e-04	7.806443e-05
36            	2.934580e-02	9.157307e-03	4.032528e-02	3.026234e-04	7.419613e-05
37            	2.803455e-02	8.574097e-03	5.736933e-02	2.873038e-04	7.158355e-05
38            	2.729612e-02	7.924119e-03	7.922244e-02	2.742003e-04	6.945467e-05
39            	2.588115e-02	7.348029e-03	6.015027e-02	2.566692e-04	6.683757e-05
40            	2.363136e-02	6.931598e-03	3.938266e-02	2.422508e-04	6.529715e-05
41            	2.176867e-02	6.544572e-03	2.968432e-02	2.291036e-04	6.255807e-05
42            	2.025999e-02	6.072055e-03	2.414042e-02	2.146699e-04	6.075904e-05
43            	1.869499e-02	5.537582e-03	2.075291e-02	2.068449e-04	5.926083e-05
44            	1.772024e-02	4.954099e-03	1.857567e-02	1.972694e-04	5.772112e-05
45            	1.646990e-02	4.372166e-03	1.706131e-02	1.921703e-04	5.606375e-05
46            	1.542478e-02	3.843515e-03	1.601517e-02	1.859375e-04	5.547214e-05
47            	1.434341e-02	3.384347e-03	1.523441e-02	1.804614e-04	5.339168e-05
48            	1.336618e-02	3.016753e-03	1.464573e-02	1.777166e-04	5.256240e-05
49            	1.220917e-02	2.738915e-03	1.415822e-02	1.713110e-04	5.139976e-05
50            	1.132635e-02	2.542857e-03	1.372975e-02	1.662058e-04	5.015840e-05
51            	1.044242e-02	2.429768e-03	1.328913e-02	1.610589e-04	4.909878e-05
52            	9.692601e-03	2.336564e-03	1.285720e-02	1.550532e-04	4.846642e-05
