# y+ ()       
# Time        	patch         	min           	max           	average       
50            	suction_side	1.278098e+01	5.374397e+01	2.629216e+01
50            	pressure_side	1.127092e+01	3.822067e+01	3.039308e+01
50            	trailing_edge	8.447898e+01	1.095347e+02	9.700684e+01
100           	suction_side	1.283241e+01	5.884883e+01	3.306335e+01
100           	pressure_side	4.938169e+00	3.925748e+01	2.752824e+01
100           	trailing_edge	7.407072e+01	1.369323e+02	1.055015e+02
150           	suction_side	1.361814e+01	5.154651e+01	2.983169e+01
150           	pressure_side	4.386607e+00	3.786448e+01	2.684388e+01
150           	trailing_edge	1.199646e+02	1.364275e+02	1.281960e+02
183           	suction_side	2.065000e+01	4.027687e+01	2.986509e+01
183           	pressure_side	4.006009e+00	5.579848e+01	2.875640e+01
183           	trailing_edge	1.485743e+02	1.663179e+02	1.574461e+02
