# Force coefficients
# liftDir     : (9.945218e-01 -1.045290e-01 0.000000e+00)
# dragDir     : (1.045290e-01 9.945218e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# magUInf     : 1.562000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	-1.533655e-01	7.552663e-01	1.436971e-01	-8.151694e-02	2.252140e-01
2             	-1.003823e-01	4.508994e-01	1.148613e-01	-4.295167e-02	1.578129e-01
3             	-1.084539e-01	4.414237e-01	4.773079e-02	-8.458854e-02	1.323193e-01
4             	-9.800967e-02	4.591220e-01	1.900264e-03	-9.705954e-02	9.895980e-02
5             	-9.116632e-02	4.616823e-01	-2.090762e-02	-1.016201e-01	8.071251e-02
6             	-1.052453e-01	4.876566e-01	-2.814457e-02	-1.193176e-01	9.117303e-02
7             	-1.194528e-01	5.311707e-01	-2.915462e-02	-1.340301e-01	1.048755e-01
8             	-1.362857e-01	5.731984e-01	-2.748598e-02	-1.500287e-01	1.225427e-01
9             	-1.542342e-01	6.308842e-01	-2.865303e-02	-1.685607e-01	1.399077e-01
10            	-1.644724e-01	6.770150e-01	-3.277289e-02	-1.808589e-01	1.480860e-01
11            	-1.714265e-01	7.075407e-01	-3.664241e-02	-1.897477e-01	1.531053e-01
12            	-1.741293e-01	7.299501e-01	-4.060123e-02	-1.944299e-01	1.538287e-01
13            	-1.744616e-01	7.383907e-01	-4.358968e-02	-1.962564e-01	1.526667e-01
14            	-1.734285e-01	7.378184e-01	-4.535745e-02	-1.961073e-01	1.507498e-01
15            	-1.718790e-01	7.291795e-01	-4.583795e-02	-1.947980e-01	1.489600e-01
16            	-1.705973e-01	7.148984e-01	-4.495641e-02	-1.930755e-01	1.481191e-01
17            	-1.686717e-01	6.950634e-01	-4.293767e-02	-1.901405e-01	1.472029e-01
18            	-1.646139e-01	6.659090e-01	-3.923352e-02	-1.842306e-01	1.449971e-01
19            	-1.580983e-01	6.303450e-01	-3.437709e-02	-1.752868e-01	1.409098e-01
20            	-1.445261e-01	5.796061e-01	-2.817210e-02	-1.586122e-01	1.304401e-01
21            	-1.238267e-01	5.160611e-01	-2.091380e-02	-1.342836e-01	1.133698e-01
22            	-9.263877e-02	4.359426e-01	-1.327899e-02	-9.927826e-02	8.599927e-02
23            	-5.108479e-02	3.411543e-01	-5.639212e-03	-5.390439e-02	4.826518e-02
24            	-2.309190e-03	2.378304e-01	1.557568e-03	-1.530406e-03	3.087974e-03
25            	4.893989e-02	1.326316e-01	7.656644e-03	5.276822e-02	-4.511157e-02
26            	9.376612e-02	4.392786e-02	1.172661e-02	9.962943e-02	-8.790282e-02
27            	1.258334e-01	-1.640402e-02	1.270945e-02	1.321882e-01	-1.194787e-01
28            	1.372299e-01	-3.402391e-02	1.057975e-02	1.425197e-01	-1.319400e-01
29            	1.216997e-01	2.112992e-03	5.285387e-03	1.243424e-01	-1.190570e-01
30            	9.118122e-02	7.224014e-02	-2.842684e-03	8.975988e-02	-9.260256e-02
31            	5.641144e-02	1.542070e-01	-1.184384e-02	5.048952e-02	-6.233336e-02
32            	2.721678e-02	2.256870e-01	-2.018783e-02	1.712287e-02	-3.731070e-02
33            	8.422345e-03	2.727938e-01	-2.676092e-02	-4.958115e-03	-2.180280e-02
34            	-6.110411e-03	3.096655e-01	-3.183511e-02	-2.202797e-02	-9.807143e-03
35            	-1.621428e-02	3.352441e-01	-3.510232e-02	-3.376544e-02	-1.336880e-03
36            	-2.263247e-02	3.511430e-01	-3.665841e-02	-4.096167e-02	4.303264e-03
37            	-2.640247e-02	3.590079e-01	-3.664958e-02	-4.472726e-02	8.077675e-03
38            	-2.855090e-02	3.609142e-01	-3.583277e-02	-4.646729e-02	1.063452e-02
39            	-2.753380e-02	3.547542e-01	-3.443973e-02	-4.475366e-02	1.031393e-02
40            	-2.205398e-02	3.394149e-01	-3.222509e-02	-3.816653e-02	5.941438e-03
41            	-1.180362e-02	3.155831e-01	-2.936879e-02	-2.648801e-02	-2.880776e-03
42            	3.213243e-03	2.837501e-01	-2.626206e-02	-9.917789e-03	-1.634427e-02
43            	2.296556e-02	2.449604e-01	-2.322205e-02	1.135453e-02	-3.457658e-02
44            	4.588608e-02	2.024809e-01	-2.058886e-02	3.559166e-02	-5.618051e-02
45            	6.976570e-02	1.603901e-01	-1.867682e-02	6.042729e-02	-7.910411e-02
46            	9.144221e-02	1.232323e-01	-1.776077e-02	8.256183e-02	-1.003226e-01
47            	1.070664e-01	9.869761e-02	-1.824825e-02	9.794232e-02	-1.161906e-01
48            	1.106860e-01	9.921745e-02	-2.075663e-02	1.003076e-01	-1.210643e-01
49            	1.003880e-01	1.278558e-01	-2.511975e-02	8.782812e-02	-1.129479e-01
50            	8.271125e-02	1.716210e-01	-2.990736e-02	6.775757e-02	-9.766493e-02
51            	6.713600e-02	2.114318e-01	-3.387212e-02	5.019994e-02	-8.407206e-02
52            	5.390867e-02	2.474364e-01	-3.775949e-02	3.502893e-02	-7.278842e-02
53            	4.335697e-02	2.789248e-01	-4.174753e-02	2.248320e-02	-6.423073e-02
54            	3.511677e-02	3.065293e-01	-4.568744e-02	1.227305e-02	-5.796049e-02
55            	2.867976e-02	3.309448e-01	-4.945773e-02	3.950899e-03	-5.340863e-02
56            	2.343557e-02	3.532437e-01	-5.301690e-02	-3.072882e-03	-4.994401e-02
57            	1.906815e-02	3.737132e-01	-5.634460e-02	-9.104150e-03	-4.724045e-02
58            	1.538830e-02	3.926394e-01	-5.950964e-02	-1.436652e-02	-4.514312e-02
59            	1.242205e-02	4.098232e-01	-6.249881e-02	-1.882735e-02	-4.367145e-02
60            	9.939480e-03	4.259839e-01	-6.538243e-02	-2.275173e-02	-4.263069e-02
61            	7.986978e-03	4.407764e-01	-6.815264e-02	-2.608934e-02	-4.206330e-02
62            	6.488361e-03	4.542471e-01	-7.083482e-02	-2.892905e-02	-4.190577e-02
63            	5.270740e-03	4.670910e-01	-7.346804e-02	-3.146328e-02	-4.200476e-02
64            	4.362995e-03	4.789907e-01	-7.603214e-02	-3.365308e-02	-4.237907e-02
65            	3.698758e-03	4.900677e-01	-7.853301e-02	-3.556775e-02	-4.296526e-02
66            	3.138562e-03	5.009161e-01	-8.100812e-02	-3.736550e-02	-4.364262e-02
67            	2.783721e-03	5.108757e-01	-8.341848e-02	-3.892552e-02	-4.449296e-02
68            	2.537449e-03	5.203136e-01	-8.577880e-02	-4.035195e-02	-4.542685e-02
69            	2.394844e-03	5.291689e-01	-8.806778e-02	-4.163904e-02	-4.642873e-02
70            	2.342270e-03	5.374068e-01	-9.029057e-02	-4.280302e-02	-4.748756e-02
71            	2.371669e-03	5.450158e-01	-9.242827e-02	-4.384247e-02	-4.858580e-02
72            	2.454157e-03	5.520685e-01	-9.447397e-02	-4.478283e-02	-4.969114e-02
